balsamic, aged vinegar
chicken, roasted
chocolate, dark, milk
chocolate, dark, white
chocolate, white
crab, soft-shell
cream, heavy
ham, ibérico
ham, serrano
honey, blueberry
honey, chestnut
honey, raspberry
lamb, chops
lemon, juice
lettuce, romaine
lime, juice
liver, calf’s
liver, chicken
mint, northeast africa
mint, peppermint
mustard, dijon
paprika, smoked
parsley, flat-leaf
pepper, black
pepper, white
rice, basmati
rice, white
rice, wild
salmon, cured
salmon, smoked
salt, fleur de sel
salt, hawaiian
salt, japanese
salt, kosher
salt, maldon
salt, sea
salt, smoked
salt, truffle
salt, vanilla
savory, summer
stock, chicken
sugar, brown
sugar, palm
trout, smoked
wine, dry white
wine, red
